id,door buster,in stock,is online,launch date,has image,status code,status,Has Price,Price
1,0,0,1,10/5/2015,0,4,-,3,32.08
2,1,1,0,11/12/2015,1,2,In Progress,3,2.88
3,1,0,0,12/19/2015,0,4,-,2,7.07
4,0,0,1,10/13/2015,1,1,Not Started,3,24
5,1,0,0,12/23/2015,1,2,In Progress,4,13.57
6,1,0,0,11/8/2015,0,2,In Progress,3,7.21
7,1,0,1,10/14/2015,1,3,Active,1,1.71
8,1,0,0,12/17/2015,0,3,Active,0,0
9,1,1,0,11/8/2015,1,1,Not Started,3,10.1
10,0,0,1,11/16/2015,0,4,-,2,2.62
11,0,1,1,11/29/2015,0,2,In Progress,4,5184
12,0,1,0,11/30/2015,0,1,Not Started,4,2500
13,1,1,0,10/24/2015,0,3,Active,4,10.08
14,1,1,1,10/9/2015,1,3,Active,2,4.16
15,0,0,0,11/16/2015,1,3,Active,2,50
16,0,0,1,12/29/2015,1,2,In Progress,2,4.16
17,0,1,0,10/2/2015,1,3,Active,1,2.24
18,0,0,1,10/4/2015,1,4,-,3,192
19,0,0,1,11/30/2015,0,2,In Progress,4,1024
20,1,0,1,11/11/2015,1,4,-,1,5
21,0,1,1,10/23/2015,0,1,Not Started,0,0
22,0,0,1,10/20/2015,0,4,-,4,98
23,1,1,1,12/6/2015,1,3,Active,2,5.66
24,0,1,0,12/12/2015,1,2,In Progress,0,0
25,0,0,0,11/3/2015,1,3,Active,2,4.24
26,0,1,0,12/7/2015,1,1,Not Started,2,9.9
27,1,1,1,11/24/2015,0,3,Active,1,1.91
28,0,1,0,11/6/2015,0,2,In Progress,1,1.82
29,1,0,1,11/18/2015,1,1,Not Started,1,2.45
30,0,0,1,12/1/2015,0,4,-,0,0
31,1,0,0,12/12/2015,1,3,Active,0,0
32,1,1,0,12/14/2015,0,2,In Progress,0,0
33,0,1,1,11/23/2015,0,3,Active,2,9.9
34,1,1,0,11/27/2015,1,2,In Progress,3,1029
35,0,1,0,11/17/2015,0,3,Active,1,1.82
36,0,0,1,10/20/2015,1,1,Not Started,4,50
37,1,1,1,11/24/2015,1,4,-,2,72
38,1,1,0,11/4/2015,1,4,-,2,3.17
39,1,1,1,10/19/2015,0,1,Not Started,1,1.82
40,0,1,0,11/1/2015,1,2,In Progress,0,0
41,0,0,0,10/28/2015,0,3,Active,1,7
42,1,0,0,10/18/2015,1,1,Not Started,4,9604
43,1,1,1,12/11/2015,1,4,-,0,0
44,1,0,1,11/9/2015,0,4,-,4,1024
45,1,1,0,12/28/2015,1,4,-,2,8
46,1,1,1,10/31/2015,0,2,In Progress,0,0
47,0,1,1,10/14/2015,1,3,Active,1,2
48,0,1,1,12/21/2015,0,3,Active,3,5.77
49,1,1,1,12/1/2015,1,2,In Progress,1,2.65
50,1,1,0,10/11/2015,1,2,In Progress,1,1.41
51,1,0,1,10/7/2015,0,3,Active,4,6.87
52,0,0,0,10/8/2015,1,3,Active,2,5.66
53,1,0,0,12/2/2015,0,2,In Progress,0,0
54,1,0,0,12/11/2015,0,4,-,4,9604
55,0,1,0,11/11/2015,1,4,-,4,1024
56,0,1,0,11/7/2015,0,1,Not Started,2,8
57,1,1,1,10/12/2015,0,2,In Progress,2,18
58,1,1,1,10/24/2015,0,3,Active,4,18
59,1,1,1,12/13/2015,0,1,Not Started,3,192
60,1,0,1,10/28/2015,1,4,-,0,0
61,0,1,1,12/1/2015,1,1,Not Started,2,3.68
62,0,0,1,11/27/2015,1,1,Not Started,2,9.9
63,0,1,0,10/24/2015,1,1,Not Started,4,4
64,1,1,0,11/1/2015,0,1,Not Started,0,0
65,0,0,1,10/11/2015,0,3,Active,2,2
66,1,0,0,12/19/2015,1,4,-,1,4
67,1,1,1,11/25/2015,1,4,-,3,375
68,0,0,1,10/5/2015,1,3,Active,2,2
69,0,1,1,12/28/2015,0,2,In Progress,0,0
70,0,0,0,12/11/2015,1,1,Not Started,0,0
71,0,1,1,11/1/2015,1,1,Not Started,3,4.9
72,0,1,0,10/11/2015,1,3,Active,3,32.08
73,0,0,0,11/22/2015,1,3,Active,1,4
74,1,1,1,11/13/2015,0,1,Not Started,2,98
75,0,1,0,12/16/2015,1,3,Active,3,7.21
76,1,0,0,12/17/2015,1,4,-,1,3
77,1,0,1,10/29/2015,0,4,-,0,0
78,0,0,1,11/20/2015,0,2,In Progress,2,72
79,1,0,1,12/2/2015,1,1,Not Started,4,324
80,0,1,0,12/23/2015,0,3,Active,2,50
81,0,1,0,12/8/2015,1,2,In Progress,3,2.88
82,1,1,1,12/19/2015,1,3,Active,1,1.41
83,1,1,0,10/31/2015,0,1,Not Started,2,4.24
84,1,1,0,10/18/2015,0,2,In Progress,0,0
85,0,0,1,11/22/2015,1,3,Active,1,6
86,0,1,1,11/24/2015,1,2,In Progress,0,0
87,0,1,1,10/21/2015,1,2,In Progress,2,2
88,1,0,0,11/11/2015,1,2,In Progress,3,9
89,1,0,0,11/16/2015,1,1,Not Started,1,1.41
90,1,0,1,11/2/2015,0,4,-,4,50
91,0,0,1,11/1/2015,0,2,In Progress,2,50
92,1,1,1,12/5/2015,0,1,Not Started,2,8
93,0,0,0,12/19/2015,0,2,In Progress,2,2.62
94,0,1,1,12/4/2015,0,4,-,4,2500
95,1,0,1,10/5/2015,1,4,-,1,2.24
96,1,1,1,12/18/2015,1,3,Active,2,98
97,1,0,0,12/5/2015,1,1,Not Started,3,9
98,0,1,0,12/28/2015,0,4,-,3,32.08
99,0,1,0,12/27/2015,0,1,Not Started,0,0
100,0,0,0,12/24/2015,0,1,Not Started,2,4.24
101,1,0,0,11/12/2015,1,4,-,1,1.71
102,1,1,1,12/25/2015,1,2,In Progress,0,0
103,0,0,0,11/25/2015,1,1,Not Started,4,32
104,1,0,1,12/6/2015,1,1,Not Started,2,2.62
105,0,1,0,10/18/2015,1,2,In Progress,1,1.59
106,1,0,0,10/26/2015,0,4,-,3,2.88
107,1,0,0,11/10/2015,0,3,Active,0,0
108,0,1,1,10/11/2015,1,4,-,2,8.49
109,1,1,1,11/16/2015,0,2,In Progress,0,0
110,1,1,1,11/19/2015,1,4,-,3,2.88
111,0,1,0,10/18/2015,0,1,Not Started,0,0
112,0,1,0,10/23/2015,0,1,Not Started,2,18
113,0,1,1,12/24/2015,1,1,Not Started,1,1.41
114,0,0,1,12/1/2015,1,2,In Progress,3,13.86
115,1,1,1,10/3/2015,0,2,In Progress,4,4
116,1,1,0,10/18/2015,1,4,-,4,98
117,1,0,0,10/18/2015,1,3,Active,0,0
118,1,0,0,10/19/2015,0,4,-,3,7.21
119,0,1,0,10/1/2015,1,1,Not Started,3,5.77
120,1,1,0,10/24/2015,1,4,-,1,2
121,1,0,1,12/6/2015,0,4,-,3,19.36
122,1,0,0,10/1/2015,0,2,In Progress,3,81
123,1,1,1,12/6/2015,0,4,-,2,72
124,0,0,1,12/29/2015,1,2,In Progress,3,24
